"filename", "language", "Vue", "JSON", "JavaScript", "Markdown", "SCSS", "HTML", "JSON with Comments", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tabs\u-tabs.vue", "Vue", 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 11, 370
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tag\u-tag.vue", "Vue", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 28, 295
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-td\u-td.vue", "Vue", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 67
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-th\u-th.vue", "Vue", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 63
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-time-line-item\u-time-line-item.vue", "Vue", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 84
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-time-line\u-time-line.vue", "Vue", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 44
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-toast\u-toast.vue", "Vue", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 221
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-top-tips\u-top-tips.vue", "Vue", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 122
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-tr\u-tr.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 26
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-upload\u-upload.vue", "Vue", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 15, 655
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-verification-code\u-verification-code.vue", "Vue", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 4, 165
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\u-waterfall\u-waterfall.vue", "Vue", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 6, 177
"d:\CodeArea\Other\NewsApp\news\uview-ui\components\uview-v1\uview-v1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
